Id,Screen_name,Created_at,Retweet,Text,Hashtags,Sentiment,Compound,Ents
1605714733381718016,Giulia67072458,2022-12-21 23:59:59+00:00,5,"Questo trio come all'inizio👁👄👁 Edo vuole andare in cortiletto e Anto dice no, Giaele la invita ad andare e lei si alza e vanno insieme. Se perdi mezza giornata non capisci più nulla perché gli equilibri cambiano continuamente.  gfvip  DONNALISI gioellers ",#gfvip#DONNALISI#gioellers#,3,0.0,Giaele
1605714716734754817,Lemon____G,2022-12-21 23:59:55+00:00,7," gfvip  incorvassi  fuoriantonellaMi ero presa la briga di twittare tutto il discorso horror con la richiesta di aiuto di Edoardo Donnamaria.E questa è la risposta della famiglia.Buona fortuna col prezzo che pagherete per questo.Detto ciò, io me ne lavo le mani. ",#gfvip#incorvassi#fuoriantonellaMi,1,-0.5719,
1605714683427553280,woekcekdo,2022-12-21 23:59:47+00:00,6,E comunque quando Antonella è stata male per Edoardo per 3 giorni chiusa a piangere in camera di Charlie non le si è avvicinata uno straccio di donna... vedete voi le differenze  gfvip  donnalisi,#gfvip#donnalisi,3,0.0,Antonella;Charlie
1605714679791120384,chiamigliorati,2022-12-21 23:59:47+00:00,4,"Raga poche palle, Daniele si imbarazza quando parla con Oriana.Gli piace e si vede per me.E pure a lei piace lui  gfvip  oriele  incorvassi",#gfvip#oriele#incorvassi,3,0.0,Daniele
1605714678096621569,SognInLuna,2022-12-21 23:59:46+00:00,1,Tontonella è tornata dal suo unico amore: Antonino 🥰  gfvip  incorvassi  FuoriAntonella  orianistas,#gfvip#incorvassi#FuoriAntonella#orianistas,5,0.8074,Antonino;Antonella
1605714675101970433,FSonostanca,2022-12-21 23:59:45+00:00,0,"Ogni volta che Antonella fa A succede un macello, adesso lei si è avvicinata a consolare Giaele (nonostante tutto) e non se ne sta parlando abbastanza, come mai?  donnalisi  GFvip ",#donnalisi#GFvip,3,0.0,Antonella;Giaele
1605714659423801344,Anthony232399,2022-12-21 23:59:42+00:00,0,Tontonella è così infossata per spinacio  donnalisi  gfvip  incorvassi,#donnalisi#gfvip#incorvassi,3,0.0,
1605714649533407233,Princess_Spain,2022-12-21 23:59:39+00:00,6,"Daniele DARLING: ""Oriana l'ho rivalutata, posso credere che sia sincera, ma per quello che mi ha fatto all'inizio non riesco a fidarmi al 100%. Per me la fiducia è la base""IL NOSTRO DARLING sempre sincero e lucido 🐢♥️ gfvip  incorvassi  nikiters  Denzzzers",#gfvip#incorvassi#nikiters#Denzzzers,5,0.9491,Daniele
1605714631166664704,ekkansonsuz,2022-12-21 23:59:35+00:00,7,"Giaele: ""Ogni volta che mi lego ad una persona e mi lascio andare poi la prendo sempre in quel posto""Edoardo: ""Gli amici sono altro, gli amici non stanno qua dentro""Giaele: ""Io dovrei ragionare così ma non ce la faccio"" gfvip   donnalisi ",#gfvip#donnalisi,3,0.0,
1605714619254841344,daymelloreal7,2022-12-21 23:59:32+00:00,1,Antonella finisce di parlare con giaele e va da Antonino 💀  GFvip  giaele  incovassi  orianistas,#GFvip#giaele#incovassi#orianistas,3,0.0,Antonella;Antonino
1605714602423189506,fe_lucrezia,2022-12-21 23:59:28+00:00,3,"Antonella non ce la fa a farsi i cazzi suoi, è più forte di lei. Edoardo prima le ha detto ""ti prego di non infilarti in questa dinamica"", ma lei niente. Ha difeso Antonino a spada tratta nuovamente davanti a Edo e adesso sta cercando di intercedere per Giaele donnalisi  GFvip",#donnalisi#GFvip,5,0.5859,Antonella;Antonino;Giaele
1605714594575572993,theblondes4,2022-12-21 23:59:26+00:00,0,Antonella è proprio ingenua  gfvip  donnalisi,#gfvip#donnalisi,3,0.0,Antonella
1605714582491758592,DouKnowWhouAree,2022-12-21 23:59:23+00:00,30," gfvip  incorvassi  fuoriantonella Ed ecco i due che ""manco si baciano pubblicamente"" ",#gfvip#incorvassi#fuoriantonella,3,0.0,
1605714578515664898,mamumao7,2022-12-21 23:59:22+00:00,46,“Ti hanno scritto un copione che stai pure recitando male… cioè la tua relazione! Qua non siamo tutti scemi o meglio io non lo sono”DANAAAAAA TI PREGOO🔥🔥🔥 donnalisi  drojette  gfvip ,#donnalisi#drojette#gfvip,1,-0.7574,
1605714568201789441,elisA22115164,2022-12-21 23:59:20+00:00,26,"Tutte le volte che buttate merda su Antonella, ricordatevi che anche oggi si è dimostrata una ragazza estremamente sensibile con un cuore enorme.Vede Giaele da sola che piange e si siede lì con lei assieme ad Edoardo.  donnalisi  gioiellers  gfvip ",#donnalisi#gioiellers#gfvip,3,0.0,Giaele
1605714560777961472,gracca00,2022-12-21 23:59:18+00:00,6,E comunque quando Antonella è stata male per Edoardo per 3 giorni chiusa a piangere in camera di Charlie non le si è avvicinata uno straccio di donna... vedete voi le differenze  gfvip  donnalisi,#gfvip#donnalisi,3,0.0,Antonella;Charlie
1605714555484753920,Serena021_,2022-12-21 23:59:17+00:00,15,Giaele sta male e Nellina nonostante tutto è li a rassicurarla e a darle consigli.Non aggiungo altro ❤️‍🩹 donnalisi  gfvip ,#donnalisi#gfvip,3,0.0,Giaele
1605714553412755457,Giulia67072458,2022-12-21 23:59:16+00:00,7,"Giaele: ""Ogni volta che mi lego ad una persona e mi lascio andare poi la prendo sempre in quel posto""Edoardo: ""Gli amici sono altro, gli amici non stanno qua dentro""Giaele: ""Io dovrei ragionare così ma non ce la faccio"" gfvip   donnalisi ",#gfvip#donnalisi,3,0.0,
1605714546827481088,Emanuel07281346,2022-12-21 23:59:15+00:00,1,Ragazzi se si continua così si perde ! Dovete vota di più forza altrimenti la spagnola manderà’ all’ eliminatoria Antonella e lunedì uscirà ! Forza votate Anto  gfvip  donnalisi ,#gfvip#donnalisi,3,0.0,Antonella
1605714516465127429,cheridere0,2022-12-21 23:59:08+00:00,66,"Attilio presenta l'intervista che Patrizia dovrà fare a George.Antonella: ""Finalmente parlerà.""E scoppia a ridere insieme a Dana.Che poveracce. gfvip  incorvassi  nikiters ",#gfvip#incorvassi#nikiters,3,0.0,Attilio;Patrizia;George
1605714497649266689,Loredana_Dana75,2022-12-21 23:59:03+00:00,31, antonella che passa dietro  micol facendo le facce disgustate (perché lei fa tutto in faccia) dopo che le ha messo contro una  Dana totalmente fuori di testa.. Tutto questo per colpire Micol..che vergogna.Ma che schifo! GFvip  INCORVASSI  donnalisi ,#antonella#micol#Dana#GFvip#INCORVASSI#donnalisi,4,0.4003,
1605714497095737345,ER3NISM,2022-12-21 23:59:03+00:00,5,antonella sta davvero parlando bene di giaele con antonino e la gente la vuole far passare per la villain della casa..VOI NON VE LA MERITATE NELLINA donnalisi  gfvip,#donnalisi#gfvip,1,-0.5574,Antonino
1605714477684400128,cheridere0,2022-12-21 23:58:58+00:00,84,"Oriana: -“Io non ho mai recitato tesoro, forse te si...amore adesso non hai più con chi giocare, adesso devi giocare con tutti e tre con Alberto, con Giaele e anche con me ci hai minacciati tutti e tre”LA CAZZO DI ORIANA MARZOLI 🔥 gfvip  incorvassi  gioiellers ",#gfvip#incorvassi#gioiellers,2,-0.34,Giaele;Oriana
1605714476195450880,donnalisi8,2022-12-21 23:58:58+00:00,6,E comunque quando Antonella è stata male per Edoardo per 3 giorni chiusa a piangere in camera di Charlie non le si è avvicinata uno straccio di donna... vedete voi le differenze  gfvip  donnalisi,#gfvip#donnalisi,3,0.0,Antonella;Charlie
1605714450891214848,MiaDrojette,2022-12-21 23:58:52+00:00,3,"Antonella non ce la fa a farsi i cazzi suoi, è più forte di lei. Edoardo prima le ha detto ""ti prego di non infilarti in questa dinamica"", ma lei niente. Ha difeso Antonino a spada tratta nuovamente davanti a Edo e adesso sta cercando di intercedere per Giaele donnalisi  GFvip",#donnalisi#GFvip,5,0.5859,Antonella;Antonino;Giaele
1605714449733586944,daymelloreal7,2022-12-21 23:58:52+00:00,6,"Daniele DARLING: ""Oriana l'ho rivalutata, posso credere che sia sincera, ma per quello che mi ha fatto all'inizio non riesco a fidarmi al 100%. Per me la fiducia è la base""IL NOSTRO DARLING sempre sincero e lucido 🐢♥️ gfvip  incorvassi  nikiters  Denzzzers",#gfvip#incorvassi#nikiters#Denzzzers,5,0.9491,Daniele
1605714448064417793,gracca00,2022-12-21 23:58:51+00:00,1,Antonella e Giale e erano belle insieme... Da quando si è allontanata da lei che si è inacidita  gfvip  donnalisi,#gfvip#donnalisi,3,0.0,
1605714430729371650,filly566971211,2022-12-21 23:58:47+00:00,15," Gfvip  Gintonic  incorvassi Oriana ha ammesso che aveva fatto un accordo con Antonino per scopare e basta senza fidanzarsi ma facendolo passare in pubblico così per tutelare lei, vi prego bastava farla bere per smerdarla😭 ",#Gfvip#Gintonic#incorvassi,3,-0.1779,Oriana;Antonino
1605714425364639744,meripimancini,2022-12-21 23:58:46+00:00,6,E comunque quando Antonella è stata male per Edoardo per 3 giorni chiusa a piangere in camera di Charlie non le si è avvicinata uno straccio di donna... vedete voi le differenze  gfvip  donnalisi,#gfvip#donnalisi,3,0.0,Antonella;Charlie
1605714421656977410,aquilarealee88,2022-12-21 23:58:45+00:00,0, gfvip ma si era detto basta a parlare cosa ci fa ancora a raccontare soprattutto a falsonella ?  orianistas  oriana  INCORVASSI  gioiellers,#gfvip#orianistas#oriana#INCORVASSI#gioiellers,3,0.0,
1605714419291344896,_Nialler_______,2022-12-21 23:58:44+00:00,5,"Questo trio come all'inizio👁👄👁 Edo vuole andare in cortiletto e Anto dice no, Giaele la invita ad andare e lei si alza e vanno insieme. Se perdi mezza giornata non capisci più nulla perché gli equilibri cambiano continuamente.  gfvip  DONNALISI gioellers ",#gfvip#DONNALISI#gioellers#,3,0.0,Giaele
1605714418460987395,Ivana33435125,2022-12-21 23:58:44+00:00,0,Gli   incorvassi Stasera AGENZIA MATRIMONIALE mi piscio ✈️ GFVIP,#incorvassi#GFVIP,3,0.0,
1605714391390986247,Roberta92436957,2022-12-21 23:58:38+00:00,1,Tavassi stasera male male gfvip  INCORVASSI,#gfvip#INCORVASSI,3,0.0,
1605714368649273344,elisA22115164,2022-12-21 23:58:32+00:00,34,"Lei che c'è sempre per qualcuno che vede stare male 🥺Ma voi non siete pronti a questa verità Ah si lei è la ""cattiva della casa""ANTONELLINA ❤️ GRANDE DONNALISI  GFVIP  IOSTOCONANTONELLA  FIORDE  DROJETTE ",#DONNALISI#GFVIP#IOSTOCONANTONELLA#FIORDE#DROJETTE,3,0.0,Antonella
1605714353436639232,alessiaschiaff1,2022-12-21 23:58:29+00:00,6,E comunque quando Antonella è stata male per Edoardo per 3 giorni chiusa a piangere in camera di Charlie non le si è avvicinata uno straccio di donna... vedete voi le differenze  gfvip  donnalisi,#gfvip#donnalisi,3,0.0,Antonella;Charlie
