Name_concorrente,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo
Antonella,0.0,0.0,0.0,0.0,0.0
Antonino,0.0,0.0,0.0,0.0,0.0
Attilio,0.0,0.0,0.0,0.0,0.0
Charlie,0.0,0.0,0.0,0.0,0.0
Daniele,0.0,0.0,0.0,0.0,0.0
Edoardo,0.0,0.0,0.0,0.0,0.0
Edoardo,0.0,0.0,0.0,0.0,0.0
George,0.0,0.0,0.0,0.0,0.0
Luca,0.0,0.0,0.0,0.0,0.0
Luca,0.0,0.0,0.0,0.0,0.0
Luciano,0.0,0.0,0.0,0.0,0.0
Micol,0.0,0.0,0.0,0.0,0.0
Nikita,0.0,0.0,0.0,0.0,0.0
Oriana,0.0,0.0,0.0,0.0,0.0
Patrizia,0.0,0.0,0.0,0.0,0.0
Sarah,0.0,0.0,0.0,0.0,0.0
Giaele,0.0,0.0,0.0,0.0,0.0
Wilma,0.0,0.0,0.0,0.0,0.0
