Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo
Antonella,Fiordelisi,0.0,1.0,12.0,6.0,4.0
Antonino,Spinalbese,1.0,7.0,25.0,14.0,6.0
Attilio,Romita,0.0,0.0,0.0,0.0,1.0
Charlie,Gnocchi,0.0,3.0,12.0,0.0,0.0
Daniele,Dal Moro,0.0,2.0,29.0,12.0,18.0
Edoardo,Donnamaria,9.0,1.0,25.0,12.0,5.0
Edoardo,Tavassi,9.0,1.0,25.0,12.0,5.0
George,Ciupilan,0.0,1.0,10.0,1.0,1.0
Luca,Onestini,2.0,5.0,33.0,2.0,12.0
Luca,Salatino,2.0,5.0,33.0,2.0,12.0
Luciano,Punzo,0.0,1.0,16.0,0.0,7.0
Micol,Incorvaia,3.0,0.0,62.0,5.0,5.0
Nikita,Pelizon,1.0,18.0,90.0,14.0,19.0
Oriana,Marzioli,0.0,2.0,29.0,2.0,9.0
Patrizia,Rossetti,0.0,0.0,51.0,3.0,5.0
Sarah,Altobelli,0.0,1.0,12.0,0.0,2.0
Giaele,De Donà,0.0,2.0,30.0,9.0,6.0
Wilma,Goich,0.0,0.0,31.0,1.0,3.0
