Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo,rank
Antonella,Fiordelisi,56.0,268.0,620.0,105.0,53.0,-84.5
Antonino,Spinalbese,1.0,16.0,44.0,11.0,9.0,5.5
Attilio,Romita,0.0,0.0,9.0,0.0,0.0,0.0
Charlie,Gnocchi,0.0,0.0,1.0,0.0,0.0,0.0
Daniele,Dal Moro,1.0,6.0,121.0,49.0,22.0,42.5
Edoardo,Donnamaria,7.0,0.0,9.0,0.0,0.0,-7.0
Edoardo,Tavassi,1.0,0.0,26.0,4.0,1.0,2.0
George,Ciupilan,0.0,0.0,18.0,1.0,3.0,3.5
Luca,Onestini,0.0,0.0,0.0,0.0,0.0,0.0
Luca,Salatino,0.0,0.0,0.0,0.0,0.0,0.0
Luciano,Punzo,0.0,3.0,1.0,0.0,0.0,-1.5
Micol,Incorvaia,24.0,69.0,221.0,42.0,36.0,-1.5
Nikita,Pelizon,0.0,2.0,37.0,11.0,5.0,9.5
Oriana,Marzioli,16.0,38.0,138.0,40.0,15.0,0.0
Patrizia,Rossetti,0.0,0.0,0.0,0.0,0.0,0.0
Sarah,Altobelli,0.0,0.0,5.0,0.0,0.0,0.0
Giaele,De Donà,0.0,0.0,16.0,20.0,1.0,11.0
Wilma,Goich,0.0,4.0,3.0,0.0,1.0,-1.0
