Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo,rank
Antonella,Fiordelisi,687.0,2433.0,11058.0,3359.0,2132.0,1908.0
Antonino,Spinalbese,479.0,886.0,4720.0,1693.0,887.0,811.5
Attilio,Romita,74.0,154.0,1164.0,507.0,285.0,387.5
Charlie,Gnocchi,68.0,171.0,1554.0,551.0,187.0,309.0
Daniele,Dal Moro,357.0,812.0,5115.0,1969.0,1958.0,2179.5
Edoardo,Donnamaria,74.0,54.0,647.0,81.0,63.0,2.5
Edoardo,Tavassi,13.0,26.0,450.0,70.0,46.0,55.0
George,Ciupilan,257.0,712.0,3853.0,1043.0,504.0,412.5
Luca,Onestini,6.0,44.0,698.0,80.0,188.0,200.0
Luca,Salatino,1.0,13.0,232.0,43.0,19.0,33.0
Luciano,Punzo,24.0,77.0,631.0,145.0,144.0,154.0
Micol,Incorvaia,467.0,979.0,6956.0,2037.0,1008.0,1070.0
Nikita,Pelizon,526.0,1951.0,10254.0,4030.0,2432.0,2945.5
Oriana,Marzioli,496.0,1517.0,7682.0,2103.0,1419.0,1216.0
Patrizia,Rossetti,137.0,246.0,2050.0,588.0,491.0,525.0
Sarah,Altobelli,55.0,113.0,1112.0,313.0,207.0,252.0
Giaele,De Donà,92.0,521.0,2892.0,757.0,560.0,586.0
