Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo,rank
Antonella,Fiordelisi,81.0,314.0,2687.0,1095.0,561.0,870.5
Antonino,Spinalbese,70.0,191.0,1373.0,532.0,268.0,368.5
Attilio,Romita,30.0,14.0,302.0,96.0,57.0,68.0
Charlie,Gnocchi,43.0,69.0,969.0,348.0,91.0,187.5
Daniele,Dal Moro,38.0,72.0,926.0,377.0,337.0,451.5
Edoardo,Donnamaria,22.0,2.0,214.0,30.0,26.0,18.0
Edoardo,Tavassi,4.0,6.0,201.0,18.0,17.0,19.0
George,Ciupilan,11.0,124.0,1250.0,257.0,175.0,230.5
Luca,Onestini,0.0,13.0,165.0,41.0,73.0,87.0
Luca,Salatino,0.0,12.0,83.0,27.0,11.0,18.5
Luciano,Punzo,10.0,25.0,304.0,88.0,81.0,102.5
Micol,Incorvaia,208.0,301.0,2639.0,757.0,290.0,310.0
Nikita,Pelizon,82.0,659.0,3951.0,1704.0,983.0,1423.5
Oriana,Marzioli,88.0,183.0,1510.0,402.0,261.0,282.5
Patrizia,Rossetti,85.0,204.0,1528.0,326.0,344.0,320.0
Sarah,Altobelli,4.0,21.0,208.0,37.0,47.0,51.0
Giaele,De Donà,27.0,74.0,690.0,200.0,130.0,166.0
Wilma,Goich,27.0,158.0,1182.0,346.0,98.0,165.0
